On day 1, $10.00
On day 2, $9.53, decreased -4.68%
On day 3, $9.06, decreased -4.90%
On day 4, $8.86, decreased -2.23%
On day 5, $8.63, decreased -2.60%
On day 6, $8.24, decreased -4.58%
On day 7, $8.03, decreased -2.54%
On day 8, $9.42, increased 17.40%
On day 9, $9.50, increased 0.80%
On day 10, $10.46, increased 10.15%
On day 11, $10.08, decreased -3.70%
On day 12, $9.74, decreased -3.35%
On day 13, $10.65, increased 9.38%
On day 14, $10.65, decreased -0.06%
On day 15, $10.62, decreased -0.28%
On day 16, $10.14, decreased -4.49%
On day 17, $9.98, decreased -1.60%
On day 18, $9.82, decreased -1.60%
On day 19, $9.81, decreased -0.11%
On day 20, $9.78, decreased -0.24%
On day 21, $11.44, increased 16.95%
On day 22, $11.24, decreased -1.80%
On day 23, $12.25, increased 9.04%
On day 24, $11.84, decreased -3.36%
On day 25, $13.21, increased 11.53%
On day 26, $13.86, increased 4.93%
On day 27, $15.94, increased 15.03%
On day 28, $18.50, increased 16.05%
On day 29, $21.55, increased 16.50%
On day 30, $24.19, increased 12.23%
On day 31, $23.72, decreased -1.92%
On day 32, $26.76, increased 12.81%
On day 33, $30.32, increased 13.29%
On day 34, $32.21, increased 6.24%
On day 35, $31.20, decreased -3.14%
On day 36, $30.95, decreased -0.79%
On day 37, $30.94, decreased -0.05%
On day 38, $30.88, decreased -0.20%
On day 39, $29.39, decreased -4.83%
On day 40, $28.05, decreased -4.55%
On day 41, $26.93, decreased -3.98%
On day 42, $26.05, decreased -3.28%
On day 43, $25.13, decreased -3.51%
On day 44, $24.11, decreased -4.08%
On day 45, $23.69, decreased -1.72%
On day 46, $27.05, increased 14.16%
On day 47, $30.66, increased 13.35%
On day 48, $30.22, decreased -1.45%
On day 49, $29.76, decreased -1.50%
On day 50, $31.35, increased 5.33%
On day 51, $32.18, increased 2.66%
On day 52, $31.63, decreased -1.70%
On day 53, $31.22, decreased -1.31%
On day 54, $31.19, decreased -0.10%
On day 55, $30.23, decreased -3.07%
On day 56, $32.07, increased 6.10%
On day 57, $32.05, decreased -0.05%
On day 58, $31.19, decreased -2.70%
On day 59, $32.58, increased 4.46%
On day 60, $32.80, increased 0.66%
On day 61, $37.34, increased 13.85%
On day 62, $36.73, decreased -1.64%
On day 63, $37.14, increased 1.13%
On day 64, $36.60, decreased -1.45%
On day 65, $36.26, decreased -0.95%
On day 66, $34.50, decreased -4.83%
On day 67, $33.01, decreased -4.31%
On day 68, $36.39, increased 10.23%
On day 69, $41.43, increased 13.85%
On day 70, $45.63, increased 10.13%
On day 71, $50.98, increased 11.73%
On day 72, $56.78, increased 11.37%
On day 73, $54.64, decreased -3.77%
On day 74, $64.19, increased 17.47%
On day 75, $63.87, decreased -0.49%
On day 76, $69.90, increased 9.43%
On day 77, $72.48, increased 3.70%
On day 78, $76.90, increased 6.09%
On day 79, $75.26, decreased -2.12%
On day 80, $75.11, decreased -0.21%
On day 81, $79.50, increased 5.84%
On day 82, $91.56, increased 15.18%
On day 83, $102.54, increased 11.99%
